DateTime,Hold_VOO
2025-10-27 14:50:00,100000.0
2025-10-27 14:51:00,99988.086
2025-10-27 14:52:00,99988.086
2025-10-27 14:53:00,99992.055
2025-10-27 14:54:00,99996.03
2025-10-27 14:55:00,100007.164
2025-10-27 14:56:00,100016.7
2025-10-27 14:57:00,100020.43
2025-10-27 14:58:00,100009.54
2025-10-27 14:59:00,100005.57
2025-10-27 15:00:00,99994.44
2025-10-27 15:01:00,100000.97
2025-10-27 15:02:00,99993.73
2025-10-27 15:03:00,99999.21
2025-10-27 15:04:00,99994.44
2025-10-27 15:05:00,100003.984
2025-10-27 15:06:00,99997.625
2025-10-27 15:07:00,100000.79
2025-10-27 15:08:00,100012.04
2025-10-27 15:09:00,100016.93
2025-10-27 15:10:00,100026.234
2025-10-27 15:11:00,100016.7
2025-10-27 15:12:00,100012.72
2025-10-27 15:13:00,100005.57
2025-10-27 15:14:00,100011.13
2025-10-27 15:15:00,99989.664
2025-10-27 15:16:00,99991.26
2025-10-27 15:17:00,99988.875
2025-10-27 15:18:00,99984.9
2025-10-27 15:19:00,99986.49
2025-10-27 15:20:00,99992.84
2025-10-27 15:21:00,99994.44
2025-10-27 15:22:00,100000.8
2025-10-27 15:23:00,99998.625
2025-10-27 15:24:00,100002.38
2025-10-27 15:25:00,100013.49
2025-10-27 15:26:00,100010.56
2025-10-27 15:27:00,100011.13
2025-10-27 15:28:00,100015.1
2025-10-27 15:29:00,100019.625
2025-10-27 15:30:00,100024.66
2025-10-27 15:31:00,100037.375
2025-10-27 15:32:00,100034.414
2025-10-27 15:33:00,100034.19
2025-10-27 15:34:00,100034.19
2025-10-27 15:35:00,100038.516
2025-10-27 15:36:00,100042.125
2025-10-27 15:37:00,100089.82
2025-10-27 15:38:00,100086.66
2025-10-27 15:39:00,100087.45
2025-10-27 15:40:00,100073.94
2025-10-27 15:41:00,100073.94
2025-10-27 15:42:00,100080.29
2025-10-27 15:43:00,100080.29
2025-10-27 15:44:00,100078.7
2025-10-27 15:45:00,100077.12
2025-10-27 15:46:00,100124.81
2025-10-27 15:47:00,100120.83
2025-10-27 15:48:00,100145.64
2025-10-27 15:49:00,100159.79
2025-10-27 15:50:00,100159.79
2025-10-27 15:51:00,100182.05
2025-10-27 15:52:00,100161.375
2025-10-27 15:53:00,100180.46
2025-10-27 15:54:00,100197.94
2025-10-27 15:55:00,100187.08
2025-10-27 15:56:00,100191.58
2025-10-27 15:57:00,100193.18
2025-10-27 15:58:00,100185.23
2025-10-27 15:59:00,100162.97
2025-10-28 09:30:00,100391.914
2025-10-28 09:31:00,100436.42
2025-10-28 09:32:00,100379.195
2025-10-28 09:33:00,100412.586
2025-10-28 09:34:00,100396.68
2025-10-28 09:35:00,100328.31
2025-10-28 09:36:00,100341.03
2025-10-28 09:37:00,100331.5
2025-10-28 09:38:00,100313.21
2025-10-28 09:39:00,100303.67
2025-10-28 09:40:00,100297.305
2025-10-28 09:41:00,100294.94
2025-10-28 09:42:00,100294.94
2025-10-28 09:43:00,100294.94
2025-10-28 09:44:00,100272.664
2025-10-28 09:45:00,100261.27
2025-10-28 09:46:00,100244.84
2025-10-28 09:47:00,100217.82
2025-10-28 09:48:00,100159.79
2025-10-28 09:49:00,100229.74
2025-10-28 09:50:00,100178.86
2025-10-28 09:51:00,100188.4
2025-10-28 09:52:00,100185.18
2025-10-28 09:53:00,100185.23
2025-10-28 09:54:00,100167.34
2025-10-28 09:55:00,100218.61
2025-10-28 09:56:00,100270.73
2025-10-28 09:57:00,100193.18
2025-10-28 09:58:00,100247.24
2025-10-28 09:59:00,100224.97
2025-10-28 10:00:00,100213.85
2025-10-28 10:01:00,100236.11
2025-10-28 10:02:00,100217.03
2025-10-28 10:03:00,100264.73
2025-10-28 10:04:00,100267.9
2025-10-28 10:05:00,100221.79
2025-10-28 10:06:00,100209.07
2025-10-28 10:07:00,100244.84
2025-10-28 10:08:00,100232.92
2025-10-28 10:09:00,100253.59
2025-10-28 10:10:00,100248.81
2025-10-28 10:11:00,100242.46
2025-10-28 10:12:00,100244.12
2025-10-28 10:13:00,100259.15
2025-10-28 10:14:00,100250.414
2025-10-28 10:15:00,100250.414
2025-10-28 10:16:00,100248.02
2025-10-28 10:17:00,100245.64
2025-10-28 10:18:00,100248.81
2025-10-28 10:19:00,100243.26
2025-10-28 10:20:00,100247.24
2025-10-28 10:21:00,100260.34
2025-10-28 10:22:00,100275.85
2025-10-28 10:23:00,100272.664
2025-10-28 10:24:00,100266.31
2025-10-28 10:25:00,100290.16
2025-10-28 10:26:00,100257.0
2025-10-28 10:27:00,100271.08
2025-10-28 10:28:00,100291.75
2025-10-28 10:29:00,100300.695
2025-10-28 10:30:00,100302.875
2025-10-28 10:31:00,100282.2
2025-10-28 10:32:00,100254.39
2025-10-28 10:33:00,100256.77
2025-10-28 10:34:00,100283.805
2025-10-28 10:35:00,100298.11
2025-10-28 10:36:00,100315.59
